Matchingname,pollination,sexual_system,ploidy,notes,AnnBot_23_Poll Mode_U_Unresolved,Flower Morphotype,Pollination_index_1-1.29W_1.3-2.56U_2.57-3 I,Reassesed_poll mode_U_unresolved,Source,Original,Fullname
Thalictrum_sparsiflorum,0,0,0,,"X (field data, also autogamy)",intermediate,2.14,,"Steven & Waller 2004. http://www.efloras.org/object_page.aspx?object_id=40861&flora_id=1, Photos from S Ickert-Bond (Alaska)",T.sparsiflorum_T74SPAKr,Thalictrum__sparsiflorum_T74SPAKr
Thalictrum_squamiferum,0,0,?,,,"filiform filaments, tiny, inconspicuous flowers look like alpinum",2.17,U,"https://eol.org/pages/2874013/articles, http://www.efloras.org/object_page.aspx?object_id=39867&flora_id=2",T.squamiferum_T75SQU,Thalictrum__squamiferum_T75SQU
Thalictrum_squarrosum,1,0,1,,,"filiform filaments, tiny, inconspicuous flowers look like alpinum",1.86,U,http://www.efloras.org/object_page.aspx?object_id=39870&flora_id=2,T.squarrosum_T76SQA,Thalictrum__squarrosum_T76SQA
Thalictrum_strigillosum,1,2,1,,,,,,,T.strigillosum_T78STR,Thalictrum__strigillosum_T78STR
Thalictrum_tenue,1,0,?,,,,1.86,U,http://www.efloras.org/object_page.aspx?object_id=40632&flora_id=2,T.tenue_T79TEN3,Thalictrum___tenue_T79TEN3
Thalictrum_texanum,1,1,?,,,,,,,T.texanum_T80TEXf,Thalictrum__texanum_T80TEXf
Thalictrum_thalictroides,0,0,0,,X,petaloid sepal,,,,T.thalictroides_T81THA,Thalictrum__thalictroides_T81THA
Thalictrum_trichopus,0,0,?,,,,,,,T.trichopus_T83TRI,Thalictrum__trichopus_T83TRI
Thalictrum_tripeltiferum,1,2,?,,,,,,,T.tripeltiferum_Thtri1,
Thalictrum_tuberiferum,0,0,0,,X,showy stamen,,,,T.tuberifeum_T84TUB,Thalictrum__tuberifeum_T84TUB
Thalictrum_tuberosum,0,0,1,,,,,,,T.tuberosum_T85TUE,Thalictrum__tuberosum_T85TUE
Thalictrum_uchiyamai,0,0,0,,X,showy stamen,2.29,,,T.uchiyamai_T86UCH,Thalictrum__uchiyamai_T86UCH
Thalictrum_uncatum,1,0,?,,,"purple sepals, longish styles",2,U,http://www.efloras.org/object_page.aspx?object_id=40658&flora_id=2,T.uncatum_T87UNC,Thalictrum__uncatum_T87UNC
Thalictrum_uncinulatum,0,0,?,,,,,,,T.uncinulatum_T88UNI,Thalictrum__uncinulatum_T88UNI
Thalictrum_urbainii,0,0,?,,,,,,,T.urbainii_Thfau1,
Thalictrum_venulosum,1,1,1,,,,,,,T.venulosum_T90VEUf,Thalictrum__venulosum_T90VEUf
Thalictrum_venulosum,1,1,1,,,,1,,,T.venulosum_T90VEUm,Thalictrum__venulosum_T90VEUm
Thalictrum_virgatum,0,0,?,,X,petaloid sepal?,2.14,,http://www.efloras.org/object_page.aspx?object_id=40660&flora_id=2,T.virgatum_T91VIG,Thalictrum__virgatum_T91VIG
Thalictrum_zernyi,0,0,?,,,,,,,T.zernyi_Thzer1,
